org,file_,contributers,top,major,minor,defect_status
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/tests/cloudcontroller.pp,4,0.4,4,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/manifests/astute/purge_service_entries.pp,2,0.5,2,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/manifests/memcached/memcached.pp,2,0.5,2,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/manifests/apparmor/disable.pp,3,0.5,3,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/netconfig/sriov_iommu_check.pp,1,1.0,1,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-mellanox/deployment_scripts/puppet/manifests/cinder.pp,2,0.6666666666666666,2,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/openstack-network/server-config.pp,10,0.3333333333333333,4,6,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/openstack-network/plugins/ml2.pp,13,0.2571428571428571,7,6,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/openstack-network/agents/metadata.pp,7,0.25,7,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/openstack-controller/openstack-controller.pp,24,0.13513513513513514,8,16,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/roles/compute.pp,28,0.10606060606060606,5,23,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/examples/site.pp,22,0.3402061855670103,4,18,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/keystone/keystone.pp,31,0.09722222222222222,8,23,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/roles/cinder.pp,21,0.15555555555555556,5,16,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/roles/controller.pp,9,0.3333333333333333,9,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/glance/glance.pp,21,0.1176470588235294,9,12,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/ceilometer/controller.pp,15,0.16129032258064516,10,5,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/horizon/horizon.pp,21,0.12195121951219512,5,16,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/openstack-network/compute-nova.pp,10,0.2,10,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/openstack-cinder/openstack-cinder.pp,21,0.11428571428571427,8,13,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/aodh/aodh.pp,6,0.16666666666666666,6,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/ceilometer/compute.pp,15,0.09090909090909093,7,8,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/ceph/ceph-osd.pp,13,0.10526315789473684,13,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/osnailyfacter/modular/openstack-network/networks.pp,8,0.3076923076923077,8,0,1
