org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status,contributers,top,major,minor
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/mozpool/manifests/inventorysync.pp,1,2,0,1,1,2,0,0,0,0,17,3,0,2,0.8333333333333334,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/mozpool/manifests/settings.pp,1,0,0,0,0,0,7,0,0,0,19,3,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/mozpool/manifests/virtualenv.pp,1,1,1,0,3,5,1,0,0,0,37,3,1,2,0.96,1,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/needs_reboot/manifests/init.pp,1,1,0,1,2,6,3,1,0,0,23,3,0,2,0.8,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/needs_reboot/manifests/motd.pp,1,0,0,0,0,1,0,0,0,0,12,3,1,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/network/manifests/resolv.pp,1,0,0,0,1,2,1,0,0,0,25,3,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/nrpe/manifests/check.pp,1,1,0,0,3,7,3,0,0,0,28,4,0,3,0.6,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/nrpe/manifests/check/check_free_aws_ips.pp,1,0,0,0,1,4,3,1,0,0,23,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/nrpe/manifests/check/puppet_agent.pp,1,0,0,0,1,1,0,0,0,0,16,3,1,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/nrpe/manifests/check/puppetmaster_certs.pp,1,0,0,0,1,1,0,0,0,0,17,3,1,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/nrpe/manifests/plugin.pp,1,1,1,0,3,5,2,0,1,1,17,4,0,3,0.5555555555555556,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/nxlog/manifests/conf.pp,1,1,1,0,4,2,2,0,0,0,22,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/packages/manifests/alsa.pp,1,0,0,1,1,1,0,0,0,0,17,3,0,4,0.25,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/packages/manifests/binscope.pp,1,0,0,0,0,2,2,0,0,0,10,3,1,4,0.25,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/packages/manifests/bridge-utils.pp,1,0,0,1,1,1,1,0,0,0,16,3,0,3,0.3333333333333333,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/packages/manifests/debmirror.pp,1,0,0,1,1,1,0,0,0,0,19,3,0,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/packages/manifests/dpkg.pp,1,0,0,2,2,2,0,0,0,0,24,3,0,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/packages/manifests/gcc.pp,1,0,0,1,1,1,0,0,0,0,17,3,0,3,0.3333333333333333,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/packages/manifests/kernel.pp,2,1,1,7,10,11,2,0,0,0,92,3,1,3,0.6666666666666666,3,0
